"id","value"
"上海","322"
"北京","61"
"重庆","26"
"成都","21"
"深圳","17"
"杭州","12"
"武汉","10"
"广州","9"
"苏州","9"
"天津","7"
"沈阳","7"
"南京","6"
"哈尔滨","5"
"大连","5"
"郑州","5"
"昆明","5"
"常州","4"
"合肥","4"
"湖州","4"
"徐州","4"
"无锡","4"
"东莞","4"
"青岛","4"
"扬州","3"
"江门","3"
"金华","3"
"泉州","3"
"烟台","3"
"石家庄","3"
"福州","3"
"潍坊","3"
"呼和浩特","2"
"太原","2"
"晋中","2"
"漳州","2"
"嘉兴","2"
"桂林","2"
"温州","2"
"临沂","2"
"汕头","2"
"宜宾","2"
"延边","2"
"宁波","2"
"中山","2"
"济南","2"
"唐山","1"
"蚌埠","1"
"首尔","1"
"芜湖","1"
"楚雄","1"
"张家口","1"
"厦门","1"
"玉树","1"
"襄阳","1"
"临汾","1"
"长春","1"
"德宏","1"
"柏林","1"
"新北","1"
"珠海","1"
"菏泽","1"
"淮安","1"
"仙桃","1"
"银川","1"
"莆田","1"
"衢州","1"
"巴黎","1"
"佛山","1"
"商丘","1"
"亳州","1"
"贵阳","1"
"丽水","1"
"乌鲁木齐","1"
"南阳","1"
"铜陵","1"
"西双版纳","1"
"萍乡","1"
"宜昌","1"
"温哥华","1"
"南通","1"
"八街市","1"
"长沙","1"
"南宁","1"
"衡阳","1"
"宣城","1"
"茂名","1"
"波士顿","1"
"韶关","1"
"焦作","1"
"威海","1"
"海西","1"
"南昌","1"
"北海","1"
"洛阳","1"
"绍兴","1"
"忻州","1"
"常德","1"
"南充","1"
"新余","1"
"海口","1"
"沧州","1"
"咸阳","1"
"河池","1"
"阜阳","1"
"包头","1"
"柳州","1"
"营口","1"
"惠州","1"
"毕节","1"
"松原","1"
"运城","1"
"西安","1"
"泰州","1"
"西宁","1"
"遵义","1"
