"lng","lat","city","n"
"121.6","31.2","上海","322"
"116.41","40.18","北京","61"
"107.87","30.06","重庆","26"
"103.85","30.67","成都","21"
"114.1","22.6","深圳","17"
"119.5","29.91","杭州","12"
"114.34","30.63","武汉","10"
"120.65","31.38","苏州","9"
"113.54","23.34","广州","9"
"117.39","39.26","天津","7"
"123.14","42.1","沈阳","7"
"118.84","31.93","南京","6"
"122.21","39.43","大连","5"
"113.47","34.63","郑州","5"
"102.88","25.39","昆明","5"
"127.96","45.64","哈尔滨","5"
"120.08","31.53","无锡","4"
"117.24","31.99","合肥","4"
"119.87","30.75","湖州","4"
"119.64","31.63","常州","4"
"113.87","22.92","东莞","4"
"117.51","34.36","徐州","4"
"120.2","36.36","青岛","4"
"119.31","25.98","福州","3"
"118.33","25.15","泉州","3"
"112.69","22.15","江门","3"
"119.95","29.12","金华","3"
"120.82","37.29","烟台","3"
"119.08","36.57","潍坊","3"
"119.47","32.74","扬州","3"
"114.44","38.13","石家庄","3"
"129.13","43.14","延边","2"
"116.64","23.29","汕头","2"
"118.28","35.31","临沂","2"
"112.31","37.96","太原","2"
"113.37","22.52","中山","2"
"111.4","40.58","呼和浩特","2"
"120.58","27.79","温州","2"
"117.51","24.26","漳州","2"
"121.56","29.72","宁波","2"
"104.64","28.57","宜宾","2"
"120.85","30.62","嘉兴","2"
"117.08","36.73","济南","2"
"110.51","25.35","桂林","2"
"112.96","37.33","晋中","2"
"112.28","33.05","南阳","1"
"121.1","32.2","南通","1"
"101.57","25.35","楚雄","1"
"118.96","33.36","淮安","1"
"87.77","43.8","乌鲁木齐","1"
"118.33","31.07","芜湖","1"
"2.34","48.86","巴黎","1"
"108.45","34.83","咸阳","1"
"116.84","38.28","沧州","1"
"119.03","25.37","莆田","1"
"118.68","28.93","衢州","1"
"112.95","23.01","佛山","1"
"115.7","34.29","商丘","1"
"112.03","34.29","洛阳","1"
"118.36","39.66","唐山","1"
"108.46","23.06","南宁","1"
"106.2","31.2","南充","1"
"126.99","37.53","首尔","1"
"111.94","31.93","襄阳","1"
"121.6","25.01","新北","1"
"109.38","24.94","柳州","1"
"109.29","21.38","北海","1"
"116.02","28.66","南昌","1"
"122.05","37.11","威海","1"
"112.57","26.79","衡阳","1"
"108.79","34.11","西安","1"
"13.4","52.5","柏林","1"
"113.15","28.23","长沙","1"
"114.85","27.85","新余","1"
"140.3","35.64","八街市","1"
"93.7","34.11","玉树","1"
"106.71","26.84","贵阳","1"
"107.84","24.64","河池","1"
"107.09","28.17","遵义","1"
"113.9","27.52","萍乡","1"
"112.41","38.88","忻州","1"
"111.37","36.24","临汾","1"
"113.61","21.98","珠海","1"
"120.63","29.71","绍兴","1"
"117.89","30.94","铜陵","1"
"124.48","44.8","松原","1"
"125.77","44.38","长春","1"
"113.77","24.82","韶关","1"
"115.03","40.86","张家口","1"
"101.45","36.82","西宁","1"
"106.34","38.22","银川","1"
"115.7","32.92","阜阳","1"
"113.38","30.29","仙桃","1"
"98.09","24.56","德宏","1"
"111.07","21.74","茂名","1"
"116.18","33.43","亳州","1"
"-122.84","49.28","温哥华","1"
"-71.09","42.32","波士顿","1"
"95.12","37.28","海西","1"
"111.14","30.75","宜昌","1"
"119.51","28.2","丽水","1"
"118.86","30.69","宣城","1"
"111.09","35.19","运城","1"
"120.06","32.57","泰州","1"
"113.12","35.11","焦作","1"
"111.52","29.3","常德","1"
"115.69","35.15","菏泽","1"
"100.94","21.93","西双版纳","1"
"105.21","27.07","毕节","1"
"110.42","19.85","海口","1"
"118.13","24.64","厦门","1"
"114.53","23.18","惠州","1"
"110.22","41.65","包头","1"
"122.43","40.39","营口","1"
"117.33","33.11","蚌埠","1"
